source,target,weight
user:1071508067592929280,@misterrcrypto,1
user:120148047,@kwabert,1
user:120148047,@pdicarlotrader,1
user:1275119508202467328,@Ashcryptoreal,1
user:1338601494132744193,@RaoulGMI,1
user:1387095175349035012,@Ashcryptoreal,1
user:1443812252872708103,@Ashcryptoreal,1
user:1457304663875719168,@Ashcryptoreal,1
user:1509541749395718150,@RajNifty123,1
user:1537070753618833408,@WatcherGuru,1
user:1555981469612490752,@Ashcryptoreal,1
user:1596036070285934592,@Cointelegraph,1
user:1596036070285934592,@grok,1
user:1616571338201636866,@Kramaramb,1
user:1616571338201636866,@grok,2
user:1642986969067134981,@Ashcryptoreal,1
user:1671365069924433920,@cryptoaamannclu,1
user:1720665183188922368,@Danny_Crypton,1
user:1720665183188922368,@Grip_Crush,1
user:1720665183188922368,@HexMktMogul,1
user:1720665183188922368,@JamesM101_,1
user:1720665183188922368,@MartiniGuyYT,1
user:1720665183188922368,@WhaleEverything,1
user:1720665183188922368,@playUBU,1
user:1720665183188922368,@thanh_19892021,1
user:1720665183188922368,@yourfriendSOMMI,1
user:1730040171255525376,@NewsLambert,1
user:1806183923707527168,@Assemble_io,1
user:1806183923707527168,@Galxe,1
user:1806183923707527168,@tonmoyislam03,1
user:1818410598817841153,@Ashcryptoreal,1
user:1854406183605719040,@Cointelegraph,1
user:1893912133181800448,@Kalshi,1
user:1897076942559678464,@Ashcryptoreal,1
user:1909616961832570880,@Cointelegraph,2
user:1909616961832570880,@Investments_CEO,1
user:1913413939666595840,@Cointelegraph,1
user:1922710587248869378,@Cointelegraph,1
user:1934731536034562048,@AlloraNetwork,1
user:1934731536034562048,@MeteoraAG,1
user:1934731536034562048,@Polymarket,1
user:1934731536034562048,@TylerHODL17,1
user:1934731536034562048,@irys_xyz,1
user:1934731536034562048,@monad,1
user:1934731536034562048,@opensea,1
user:1934731536034562048,@trylimitless,1
user:1934731536034562048,@wardenprotocol,1
user:1934731536034562048,@youfadedwealth,1
user:1952431334787620864,@Ape4Nana,1
user:1965505240754720768,@LiebermanAustin,1
user:1965505240754720768,@andrewrsorkin,1
user:1968143273052213248,@Cointelegraph,1
user:1972378089989558272,@DividendDude_X,1
user:1976662869627342848,@BTCTN,1
user:1976662869627342848,@coingecko,1
user:1976662869627342848,@cryptocom,1
user:23320802,@CNBC,1
user:2403018667,@seafullofsharks,1
user:280086557,@Barchart,1
user:3134597467,@ICICI_Direct,1
user:3395435657,@Ashcryptoreal,1
user:49039307,@WallStreetMav,1
user:601492130,@Global,1
user:601492130,@GlobalMarketsX,1
user:601492130,@GlobalMktObserv,1
user:630513461,@CoStarGroup,1
user:630513461,@zillow,1
user:631810714,@anshul91_m,3
user:729290108,@Cointelegraph,1
user:952145710455156737,@yardeni,1
user:989480469099139072,@BrianBrenberg,1
user:989480469099139072,@JackieDeAngelis,1
user:989480469099139072,@TheBigMoneyShow,1
user:989480469099139072,@dagenmcdowell,1
