node,degree,pagerank,betweenness
#fed,45,0.05416406436425428,0.22323826413484177
#bitcoin,24,0.03623383581076587,0.06847056444763547
#crypto,23,0.033067874980176604,0.057208956799646236
#gold,30,0.03234679474636111,0.09922300239261973
#interestrates,19,0.02540601166640024,0.0627251894662114
#silver,17,0.023208019166857514,0.054809638812057596
#cryptomarket,19,0.02221361110555619,0.04881718314781773
#btc,15,0.020928723906526392,0.07604899006701253
#trading,13,0.018007694483766136,0.015059189176836235
#usd,13,0.018007694483766136,0.015059189176836235
